"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"17","p(basal_a)psi(in_out)",4,225.671093014406,0,1,0.254532001622484,-108.490718920996,0.254532001622484
"9","p(elev)psi(in_out)",4,226.77155738484,1.10046437043377,0.576815866714103,0.146818097122349,-109.040951106213,0.401350098744833
"1","p(.)psi(.)",2,227.494968618428,1.82387560402191,0.401744967049569,0.102256950604886,-111.647484309214,0.503607049349719
"15","p(basal_a)psi(canopy_c)",4,227.716784080066,2.04569106565987,0.359570313927689,0.0915221517280397,-109.513564453826,0.595129201077758
"13","p(basal_a)psi(dist_rd)",4,228.173077388534,2.50198437412831,0.286220671482997,0.0728523204182988,-109.74171110806,0.667981521496057
"12","p(basal_a)psi(dist_def)",4,228.605401300389,2.93430828598292,0.230580752196044,0.0586901803920772,-109.957873063988,0.726671701888134
"7","p(elev)psi(canopy_c)",4,229.094308248703,3.42321523429706,0.180575263259888,0.0459621832010463,-110.202326538145,0.772633885089181
"5","p(elev)psi(dist_rd)",4,229.157542884961,3.48644987055491,0.174955270429063,0.0445317151767125,-110.233943856274,0.817165600265893
"4","p(elev)psi(dist_def)",4,229.578949118584,3.90785610417771,0.141716307802199,0.0360713354874419,-110.444646973085,0.853236935753335
"11","p(basal_a)psi(slope)",4,230.011767336653,4.3406743222468,0.114139127146243,0.0290520604959763,-110.66105608212,0.882288996249311
"10","p(basal_a)psi(elev)",4,230.316541599306,4.64544858489955,0.0980062239680886,0.0249457203580591,-110.813443213446,0.90723471660737
"16","p(basal_a)psi(basal_a)",4,230.525812075023,4.8547190606173,0.0882695983407555,0.0224674375480852,-110.918078451305,0.929702154155455
"14","p(basal_a)psi(canopy_h)",4,230.583956019985,4.91286300557903,0.0857403699708525,0.0218236679885334,-110.947150423786,0.951525822143989
"3","p(elev)psi(slope)",4,231.450566962865,5.77947394845904,0.0555908325102463,0.0141496458706933,-111.380455895226,0.965675468014682
"2","p(elev)psi(elev)",4,231.707930044264,6.03683702985825,0.0488784578207199,0.012441131705328,-111.509137435925,0.97811659972001
"6","p(elev)psi(canopy_h)",4,231.953445531533,6.28235251712726,0.0432319160712369,0.0110039061315872,-111.63189517956,0.989120505851597
"8","p(elev)psi(basal_a)",4,231.976186663537,6.30509364913104,0.0427431288759474,0.0108794941484027,-111.643265745562,1
