"","names(models@fits)","psi(Int)","psi(cov)","p(Int)","p(cov)"
"1","p(.)psi(.)",-0.168431214029213,-0.401860675794072,-0.168431214029213,-0.401860675794072
"2","p(elev)psi(elev)",-0.168431214029213,-0.401860675794072,-0.168431214029213,-0.401860675794072
"3","p(elev)psi(slope)",0.206563685190714,-0.0017120915517382,-0.452946228156793,0.000255521499697026
"4","p(elev)psi(dist_def)",-0.538686692727989,0.0486986171814123,-0.412628254849117,6.46723213375976e-05
"5","p(elev)psi(dist_rd)",-0.991864123058988,0.00100080338841569,-0.374350313093531,-5.90259847936004e-05
"6","p(elev)psi(canopy_h)",-1.14796735160433,0.00125685084521681,-0.237705854183871,-0.0011279821234937
"7","p(elev)psi(canopy_c)",-0.238874612307899,0.00920574244593458,-0.341122902098707,-0.000293540531324471
"8","p(elev)psi(basal_a)",-1.11060564100121,0.0191557267210742,-0.288077940015971,-0.000588854371969135
"9","p(elev)psi(in_out)",-0.145283110613678,-0.00013824443246517,-0.354814944901824,-0.000235432369264125
"10","p(basal_a)psi(elev)",0.236135522119352,-1.59310213209333,-0.394568680678683,-5.05168564067122e-05
"11","p(basal_a)psi(slope)",0.211155002226136,-0.00162717955431032,-0.730994132858422,0.0025154258794755
"12","p(basal_a)psi(dist_def)",-0.527545064994436,0.0509303187375504,-0.735399793668116,0.0025437814605702
"13","p(basal_a)psi(dist_rd)",-1.27804676607211,0.0014117345656901,-0.804246193693845,0.00280105683165094
"14","p(basal_a)psi(canopy_h)",-0.981908774670153,0.00108495015860103,-0.601717219495535,0.00121455584802823
"15","p(basal_a)psi(canopy_c)",-0.137271825527723,-0.000795693462382341,-0.731126257507295,0.00250889188561943
"16","p(basal_a)psi(basal_a)",-1.10265718892316,0.0194257142064571,-0.738147161339137,0.00251547594754365
"17","p(basal_a)psi(in_out)",-0.0584644027130242,-0.000575414458957886,-0.746316518443872,0.00257540633350862
