"","names(models@fits)","psi(Int)","psi(cov)","p(Int)","p(cov)"
"1","p(.)psi(.)",-1.71880390172583,-1.21633877362649,-1.71880390172583,-1.21633877362649
"2","p(elev)psi(elev)",-1.28814119621624,-1.8700676090991,-1.28814119621624,-1.8700676090991
"3","p(elev)psi(slope)",-4.33437617355899,0.0167989983386613,0.336694302191092,-0.0107873119890473
"4","p(elev)psi(dist_def)",-1.36246073360578,0.0152093053292069,-2.26571631030809,0.00158458678066856
"5","p(elev)psi(dist_rd)",-2.05761652045864,0.000984261322272097,-2.91060760756725,0.00420609632858189
"6","p(elev)psi(canopy_h)",-4.7730401444227,0.00387958551249915,-1.89401519367857,-0.00139746847111309
"7","p(elev)psi(canopy_c)",-3.16115860335316,0.297898227324634,-2.71943077081615,0.00170159652076749
"8","p(elev)psi(basal_a)",-2.70574640286478,0.0276214835355346,-1.99427128009775,0.00032027682089695
"9","p(elev)psi(in_out)",-1.34231751798067,0.000643362050104073,-2.20190955226781,0.00133647863599671
"10","p(basal_a)psi(elev)",-0.755114348232759,-7.49934188784933,-2.4319043626538,0.00221986237586867
"11","p(basal_a)psi(slope)",-2.00788558179913,0.00293381329681299,-1.58826430919561,-0.00164330918166023
"12","p(basal_a)psi(dist_def)",-1.40037028576495,0.00473964983634997,-1.54680702280033,-0.00180948506051094
"13","p(basal_a)psi(dist_rd)",-1.62721565018687,0.000311737401918141,-1.60908503347442,-0.00145809439028372
"14","p(basal_a)psi(canopy_h)",-4.49004663683452,0.00372296926337324,-2.35392152005989,0.000776079767056189
"15","p(basal_a)psi(canopy_c)",-4.6726776990517,0.452524360211273,-0.742458417933102,-0.00858849581950581
"16","p(basal_a)psi(basal_a)",-2.73651040611006,0.0265306934921947,-1.64428936988702,-0.00141944410654376
"17","p(basal_a)psi(in_out)",-3.64030544222752,0.0224942633091098,-0.515813312728259,-0.00987601339122373
