"","names(models@fits)","psi(Int)","psi(cov)","p(Int)","p(cov)"
"1","p(.)psi(.)",-0.168431214029213,-0.401860675794072,-0.168431214029213,-0.401860675794072
"2","p(elev)psi(elev)",-1.13541905771877,-0.336511706315146,-1.13541905771877,-0.336511706315146
"3","p(elev)psi(slope)",-0.961961099238846,-0.000353596063754199,-1.74240191132725,0.00557861842438786
"4","p(elev)psi(dist_def)",-1.29704970637712,0.0355409639718826,-1.85105431890619,0.00596740248119986
"5","p(elev)psi(dist_rd)",-1.78623301379125,0.000911780173080714,-2.25784715760816,0.0073876007369782
"6","p(elev)psi(canopy_h)",-1.54420339971341,0.000447435796947742,-1.31818684875006,0.00395941136290097
"7","p(elev)psi(canopy_c)",-1.87949070063663,0.096477002365422,-1.43989589013251,0.0043894976807266
"8","p(elev)psi(basal_a)",-2.41238540586207,0.0252922700689563,-1.4814311950244,0.00454797151083291
"9","p(elev)psi(in_out)",-1.10262394868027,0.000376473609401797,-1.64184632411902,0.00519727671216558
"10","p(basal_a)psi(elev)",-0.684538926594297,-1.85384507688386,-1.81404162866851,0.00579490692638221
"11","p(basal_a)psi(slope)",-1.41316314001441,0.00125296901573234,0.0991451868907731,-0.00277733127277875
"12","p(basal_a)psi(dist_def)",-1.25154219882731,0.0146233116579131,0.101648159980511,-0.00280381658801306
"13","p(basal_a)psi(dist_rd)",-1.37589195376974,0.000265504258244074,0.0802799522799392,-0.00265100976404187
"14","p(basal_a)psi(canopy_h)",-1.61967312082485,0.000474213038383599,0.0724905927516528,-0.0026234851612
"15","p(basal_a)psi(canopy_c)",-2.37268950697407,0.164386276775865,0.423031136065812,-0.00544531727934807
"16","p(basal_a)psi(basal_a)",-2.49763491822017,0.0257482079458648,0.141074323668264,-0.00309967737601062
"17","p(basal_a)psi(in_out)",-2.07043989995886,0.00922189205712365,0.551194729336925,-0.00668675455713371
