,Modnames,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt
7,p(elev)psi(canopy_c),4,192.8162139,2.248399324,0.986090802,0.275076931,-93.16327938,0.345967914
5,p(elev)psi(dist_rd),4,195.0646133,1.229160779,0.976090802,0.170890982,-95.43230663,0.438397344
1,p(.)psi(.),2,196.293774,0.202196043,0.527936086,0.09242943,-93.80205943,0.521939169
3,p(elev)psi(slope),4,196.4959701,0.437473081,0.477172092,0.083541826,-93.90315745,0.589067815
9,p(elev)psi(in_out),4,196.9334432,0.255983991,0.383423708,0.067128646,-94.121894,0.648131654
6,p(elev)psi(canopy_h),4,197.1894272,0.058126738,0.337359346,0.059063839,-94.24988599,0.705503604
2,p(elev)psi(elev),4,197.2475539,0.032534168,0.327695656,0.05737195,-94.27894936,0.76194983
8,p(elev)psi(basal_a),4,197.2800881,0.322584403,0.322408127,0.056446225,-94.29521644,0.809988015
11,p(basal_a)psi(slope),4,197.6026725,0.558053554,0.274383295,0.048038185,-94.45650864,0.846329846
4,p(elev)psi(dist_def),4,198.160726,0.446645495,0.207576353,0.036341831,-94.73553542,0.875398101
10,p(basal_a)psi(elev),4,198.6073715,0.318255152,0.166031328,0.029068255,-94.95885817,0.900190054
13,p(basal_a)psi(dist_rd),4,198.9256267,0.098612525,0.141606051,0.024791953,-95.11798575,0.923789255
17,p(basal_a)psi(in_out),4,199.0242392,0.005256112,0.134793321,0.023599201,-95.16729201,0.947326517
15,p(basal_a)psi(canopy_c),4,199.0294953,0.234962066,0.134439542,0.023537262,-95.16992006,0.968254848
16,p(basal_a)psi(basal_a),4,199.2644574,0.180705369,0.11953791,0.020928331,-95.2874011,0.987375157
14,p(basal_a)psi(canopy_h),4,199.4451627,0.830169142,0.1092109,0.019120309,-95.37775378,0.987545
12,p(basal_a)psi(dist_def),4,200.2753319,-200.2753319,0.072110258,0.012624843,-95.79283835,1
