"","names(models@fits)","psi(Int)","psi(cov)","p(Int)","p(cov)"
"1","p(.)psi(.)",-0.168431214029213,-0.401860675794072,-0.168431214029213,-0.401860675794072
"2","p(elev)psi(elev)",0.705805100065576,-1.56513523783964,0.705805100065576,-1.56513523783964
"3","p(elev)psi(slope)",0.416163017022744,0.00215648993540936,-0.757119032037994,-0.00411848541618428
"4","p(elev)psi(dist_def)",-0.163275559063778,0.112247378497946,-0.959171930120603,-0.0028700360391902
"5","p(elev)psi(dist_rd)",0.283836357680782,0.000686571223215269,-0.958549649329435,-0.00332747778764803
"6","p(elev)psi(canopy_h)",0.25706737876909,0.000709299582567491,-0.920584987555834,-0.0033452606818091
"7","p(elev)psi(canopy_c)",0.455247841497457,0.0487071920259173,-0.860221091931011,-0.00358654407933687
"8","p(elev)psi(basal_a)",-1.45669628814173,0.0910191951001194,-0.85791447297125,-0.00450467454867961
"9","p(elev)psi(in_out)",0.826349744608922,-0.000424545574303624,-0.850909679619082,-0.00354728958536932
"10","p(basal_a)psi(elev)",0.962173089240601,-0.662188718025817,-0.867992836793945,-0.00346899740734931
"11","p(basal_a)psi(slope)",1.63121847504664,-0.00429208096134392,-1.62521795475004,0.000495117624730186
"12","p(basal_a)psi(dist_def)",-0.519152404771195,0.168294064896565,-1.64095850665721,0.000566724612604367
"13","p(basal_a)psi(dist_rd)",-0.0521693529894936,0.000591384489234176,-1.52992410098895,0.000435615259965152
"14","p(basal_a)psi(canopy_h)",-0.109314402542227,0.000915696231967224,-1.54408478588861,4.58539096858527e-05
"15","p(basal_a)psi(canopy_c)",0.730676454539915,-0.00108002316368286,-1.64198776851215,0.00050021225906189
"16","p(basal_a)psi(basal_a)",0.0865365088716888,0.0146091675350851,-1.6302856215413,0.000290055064714958
"17","p(basal_a)psi(in_out)",0.96946487411009,-0.00162634836566698,-1.71205259445053,0.000921320228441047
