"","names(models@fits)","psi(Int)","psi(cov)","p(Int)","p(cov)"
"1","p(.)psi(.)",-1.71880390172583,-1.21633877362649,-1.71880390172583,-1.21633877362649
"2","p(elev)psi(elev)",0.127579619248596,-2.70880602463702,0.127579619248596,-2.70880602463702
"3","p(elev)psi(slope)",-10.2530060551761,0.109783056795915,-2.32911236321864,-0.00428601043177717
"4","p(elev)psi(dist_def)",5.78484224255329,-0.421415897734407,-2.71165278863631,-0.0021755008148988
"5","p(elev)psi(dist_rd)",-21.4178953236445,0.0518207687175502,-2.99843338807757,-0.000570407550289577
"6","p(elev)psi(canopy_h)",1.06014812004186,-0.000934348133193561,-2.61431467475534,-0.000608840378752438
"7","p(elev)psi(canopy_c)",-6.40411219916231,1.6174146624657,-2.55277605015184,-0.00252017805141491
"8","p(elev)psi(basal_a)",-31.3535854645212,1.1608133641199,-2.39928069884445,-0.00284986970475196
"9","p(elev)psi(in_out)",-2.22828777504253,0.0272034346631582,-2.32767954362915,-0.00236168151343146
"10","p(basal_a)psi(elev)",0.320824069635039,-0.279025045631071,-2.43625081838977,-0.0015627191733782
"11","p(basal_a)psi(slope)",0.440656060333168,-0.00149864618345623,-2.95171079271913,0.00164411930891396
"12","p(basal_a)psi(dist_def)",10.7134446043808,-0.771200708319717,-3.54171136757655,0.00210927097956796
"13","p(basal_a)psi(dist_rd)",-26.3052948460674,0.0634758928157477,-3.25974365197496,0.000851035367014898
"14","p(basal_a)psi(canopy_h)",0.732526722124124,-0.000742482429047211,-2.88458125558228,0.00135879552294842
"15","p(basal_a)psi(canopy_c)",-6.28052992374063,1.60528590478019,-3.15284445278684,0.000339789582465434
"16","p(basal_a)psi(basal_a)",-42.1895931852075,1.55525358105233,-3.2927971723901,0.00190347591836077
"17","p(basal_a)psi(in_out)",-2.25468685208713,0.0160727479661147,-2.0291992977058,-0.00225711779766353
