"","names(models@fits)","psi(Int)","psi(cov)","p(Int)","p(cov)"
"1","p(.)psi(.)",-0.25752663827432,-1.90462113221287,-0.25752663827432,-1.90462113221287
"2","p(elev)psi(elev)",-1.71880390172583,-1.21633877362649,-1.71880390172583,-1.21633877362649
"3","p(elev)psi(slope)",-1.35857110090841,0.0009006859671988,0.746486818865216,-0.0130666603522359
"4","p(elev)psi(dist_def)",-1.0123552369967,-0.0254765777233389,0.697934359257296,-0.0127015628236941
"5","p(elev)psi(dist_rd)",-2.74227364642339,0.00128973189718479,0.476437646333497,-0.010829006152839
"6","p(elev)psi(canopy_h)",-1.27993085584414,5.67281025772791e-05,0.69110434284165,-0.0126280933920677
"7","p(elev)psi(canopy_c)",-1.34030426890959,0.0127034009460516,0.686169814393224,-0.0125534233060847
"8","p(elev)psi(basal_a)",-4.90577444783001,0.0713145495738938,0.799624538691939,-0.0144480774244976
"9","p(elev)psi(in_out)",-0.925639622760565,-0.00257611589564955,0.68257766509467,-0.012488005977826
"10","p(basal_a)psi(elev)",-1.39936126408755,0.617127668768897,0.715049998761156,-0.0127894594090934
"11","p(basal_a)psi(slope)",-0.0540631703991136,-0.00840151514588225,-0.82650936322224,-0.00349812042715508
"12","p(basal_a)psi(dist_def)",-1.97780807756939,0.0382548466631308,-0.814818646714643,-0.00364165022472611
"13","p(basal_a)psi(dist_rd)",-4.21922840756268,0.00297436037794885,-1.72746640515786,-0.000145342657872531
"14","p(basal_a)psi(canopy_h)",-1.13698353237443,-0.000459483030207648,-0.790151111984703,-0.00428118318962324
"15","p(basal_a)psi(canopy_c)",-1.98965326378052,0.0478871745117401,-0.74454904106672,-0.00458557720424499
"16","p(basal_a)psi(basal_a)",-4.30222347390135,0.04490520354445,-0.856799384416563,-0.0032367183318276
"17","p(basal_a)psi(in_out)",-1.61345812316116,-0.000598994748961116,-0.851960815277775,-0.00329812871116421
