"","names(models@fits)","psi(Int)","psi(cov)","p(Int)","p(cov)"
"1","p(.)psi(.)",0.705805100065576,-1.56513523783964,0.705805100065576,-1.56513523783964
"2","p(elev)psi(elev)",-1.2306140574645,-0.946370636525474,-1.2306140574645,-0.946370636525474
"3","p(elev)psi(slope)",-0.656927913144674,-0.00245754696850821,-0.234798915467934,-0.00388736918257366
"4","p(elev)psi(dist_def)",0.246965582514377,-0.156646336635843,0.214170062144209,-0.00720060398578759
"5","p(elev)psi(dist_rd)",-0.839976480458194,-0.000227670550657642,0.185523757454473,-0.00636669344563005
"6","p(elev)psi(canopy_h)",-0.884009379128341,-0.000159784771648845,-0.037227566624834,-0.00521037184263677
"7","p(elev)psi(canopy_c)",-0.834890834068938,-0.0329144621847697,-0.0265698262478253,-0.00529205741128466
"8","p(elev)psi(basal_a)",-1.01097482697857,-0.00142812253848102,-0.0228663348029032,-0.00531553622653072
"9","p(elev)psi(in_out)",-0.588361049970734,-0.00393483377675929,0.00219720328042524,-0.00553585890621686
"10","p(basal_a)psi(elev)",-2.1052960900977,3.14019020441779,0.30945850554562,-0.00733853553983078
"11","p(basal_a)psi(slope)",-0.196856680061257,-0.00447658802065888,-0.429621730405234,-0.0053871404586263
"12","p(basal_a)psi(dist_def)",-0.469971732727981,-0.0893137679948898,-0.428346246917087,-0.00550171768362495
"13","p(basal_a)psi(dist_rd)",-1.08033164693408,-8.77669426644063e-05,-0.451082689640101,-0.00517562665649379
"14","p(basal_a)psi(canopy_h)",-0.725066238749696,-0.000399760014285689,-0.33870678340976,-0.00640413292034725
"15","p(basal_a)psi(canopy_c)",-1.35449015901472,0.0390820270409274,-0.340741337847348,-0.00656320193673123
"16","p(basal_a)psi(basal_a)",-0.992650273183276,-0.00272157806063668,-0.421259403732712,-0.00551165643794617
"17","p(basal_a)psi(in_out)",-1.16454044366808,0.000518185667040609,-0.38454379368017,-0.00593332642255452
