"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"15","p(basal_a)psi(canopy_c)",4,115.8524640481,0,1,0.356366302064661,-53.5814044378432,0.356366302064661
"7","p(elev)psi(canopy_c)",4,116.481929848677,0.62946580057698,0.729983826701547,0.260141636888641,-53.8961373381317,0.616507938953301
"1","p(.)psi(.)",2,117.985163107995,2.13269905989517,0.344262947976821,0.122683713708378,-56.8925815539977,0.73919165266168
"6","p(elev)psi(canopy_h)",4,121.250587629155,5.39812358105478,0.0672685951760563,0.0239722605079759,-56.2804662283706,0.763163913169656
"10","p(basal_a)psi(elev)",4,121.29737490762,5.44491085952009,0.0657132020154159,0.0234179707990618,-56.3038598676032,0.786581883968717
"14","p(basal_a)psi(canopy_h)",4,121.328385993397,5.47592194529712,0.0647021419177427,0.0230576630508889,-56.3193654104917,0.809639547019606
"11","p(basal_a)psi(slope)",4,121.365855309245,5.51339126114503,0.0635012536618221,0.0226297069439335,-56.3381000684157,0.83226925396354
"8","p(elev)psi(basal_a)",4,121.558102459741,5.70563841164054,0.0576814754839524,0.0205557341158495,-56.4342236436634,0.852824988079389
"16","p(basal_a)psi(basal_a)",4,121.681870631787,5.82940658368651,0.0542201161972912,0.0193222223067449,-56.4961077296864,0.872147210386134
"2","p(elev)psi(elev)",4,121.717199118813,5.86473507071297,0.0532707683025961,0.0189839067081395,-56.5137719731997,0.891131117094274
"3","p(elev)psi(slope)",4,121.844653332245,5.99218928414496,0.0499818848564527,0.0178118594765157,-56.5774990799156,0.908942976570789
"17","p(basal_a)psi(in_out)",4,121.943157777232,6.09069372913203,0.0475798053763737,0.0169558392949345,-56.6267513024092,0.925898815865724
"12","p(basal_a)psi(dist_def)",4,122.024980859497,6.17251681139709,0.0456725231584756,0.0162761481839485,-56.6676628435417,0.942174964049672
"13","p(basal_a)psi(dist_rd)",4,122.087631396533,6.23516734843314,0.0442639955368505,0.015774196404074,-56.6989881120597,0.957949160453747
"9","p(elev)psi(in_out)",4,122.269106822272,6.41664277417209,0.0404244132933085,0.0144058986784699,-56.7897258249292,0.972355059132216
"4","p(elev)psi(dist_def)",4,122.33240000711,6.47993595900961,0.0391651491663798,0.0139571393782336,-56.821372417348,0.98631219851045
"5","p(elev)psi(dist_rd)",4,122.371372260648,6.51890821254746,0.0384093597241029,0.0136878014895499,-56.8408585441169,1
