"","names(models@fits)","psi(Int)","psi(cov)","p(Int)","p(cov)"
"1","p(.)psi(.)",-0.25752663827432,-1.90462113221287,-0.25752663827432,-1.90462113221287
"2","p(elev)psi(elev)",-0.25752663827432,-1.90462113221287,-0.25752663827432,-1.90462113221287
"3","p(elev)psi(slope)",-1.54030170725094,0.00566404450448754,-1.46987402445005,-0.00171537012955482
"4","p(elev)psi(dist_def)",0.250414107155585,-0.0660328625723455,-2.07642773829026,0.000735240225453994
"5","p(elev)psi(dist_rd)",-0.305276851130186,-0.000106815834320921,-1.99410922763867,0.000814298945533018
"6","p(elev)psi(canopy_h)",-0.31252014913996,-5.20612222019478e-05,-2.03273395545013,0.00113468262534541
"7","p(elev)psi(canopy_c)",-1.01673215522235,0.102458467769918,-2.13454050358275,0.000894387196654985
"8","p(elev)psi(basal_a)",-9.51081212786583,0.338963966046901,-2.55397341311113,0.000435839928034067
"9","p(elev)psi(in_out)",-0.672153470084161,0.00309811555868037,-2.18817742073236,0.00121317739574097
"10","p(basal_a)psi(elev)",-0.127292651850806,-0.221506904603037,-2.22803872137965,0.00122044205401225
"11","p(basal_a)psi(slope)",-1.0431911157607,0.00415199223361302,-2.21816168054177,0.00160224276111647
"12","p(basal_a)psi(dist_def)",0.398335909563994,-0.0731924817173797,-2.20967512468472,0.00166556487199742
"13","p(basal_a)psi(dist_rd)",-0.31086967551847,4.46532349432124e-05,-2.11611442828289,0.00157548127766555
"14","p(basal_a)psi(canopy_h)",-0.346659940781999,-3.29117408164278e-05,-2.08498028344441,0.00194370690045787
"15","p(basal_a)psi(canopy_c)",-1.02699588587531,0.0972578648527879,-1.92822120609926,0.000195078540161127
"16","p(basal_a)psi(basal_a)",-9.72879121832577,0.341123391668749,-2.69975317027352,0.00168039215654976
"17","p(basal_a)psi(in_out)",-0.667868825461156,0.00262202567001305,-1.92735476978945,0.000355854345421456
