"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"1","p(.)psi(.)",2,72.1693340008386,0,1,0.229266876759864,-33.9846670004193,0.229266876759864
"14","p(basal_a)psi(canopy_h)",4,72.5215149740326,0.352180973193995,0.838542103082706,0.192249929005419,-31.9159299008094,0.421516805765283
"6","p(elev)psi(canopy_h)",4,73.0871961281202,0.91786212728158,0.631958808337344,0.144887222228388,-32.1987704778532,0.566404027993671
"17","p(basal_a)psi(in_out)",4,74.9456871504195,2.77635314958093,0.249529889145685,0.0572089383426661,-33.1280159890029,0.623612966336337
"9","p(elev)psi(in_out)",4,75.1986554791813,3.02932147834277,0.219882769805852,0.0504118358866957,-33.2545001533838,0.674024802223033
"11","p(basal_a)psi(slope)",4,76.1378830690938,3.96854906825519,0.137480315224529,0.0315196824874893,-33.72411394834,0.705544484710522
"15","p(basal_a)psi(canopy_c)",4,76.1704252395775,4.00109123873888,0.135261461825737,0.0310109728987603,-33.7403850335818,0.736555457609283
"10","p(basal_a)psi(elev)",4,76.1726123987204,4.00327839788186,0.135113623505492,0.0309770784688122,-33.7414786131533,0.767532536078095
"16","p(basal_a)psi(basal_a)",4,76.2506278205627,4.08129381972414,0.129944621225152,0.0297919974600341,-33.7804863240745,0.797324533538129
"3","p(elev)psi(slope)",4,76.301204290849,4.1318702900104,0.126699752510777,0.0290480565443935,-33.8057745592176,0.826372590082523
"7","p(elev)psi(canopy_c)",4,76.3612098604865,4.19187585964794,0.122954866518288,0.0281894782290738,-33.8357773440364,0.854562068311596
"2","p(elev)psi(elev)",4,76.3692221697723,4.19988816893373,0.12246327566089,0.0280767727285545,-33.8397834986793,0.882638841040151
"8","p(elev)psi(basal_a)",4,76.4974290718027,4.32809507096408,0.11485928190487,0.0263334288292102,-33.9038869496944,0.908972269869361
"13","p(basal_a)psi(dist_rd)",4,76.5956812449924,4.4263472441538,0.109353051977302,0.025071032690995,-33.9530130362893,0.934043302560356
"4","p(elev)psi(dist_def)",4,76.7403585770104,4.57102457617181,0.101721937819278,0.023321470981787,-34.0253517022983,0.957364773542143
"12","p(basal_a)psi(dist_def)",4,76.7668345705387,4.59750056970014,0.10038421704287,0.023014775917403,-34.0385896990625,0.980379549459546
"5","p(elev)psi(dist_rd)",4,77.0859626178398,4.91662861700124,0.0855790893902426,0.0196204505404541,-34.198153722713,1
