"","names(models@fits)","psi(Int)","psi(cov)","p(Int)","p(cov)"
"1","p(.)psi(.)",-0.25752663827432,-1.90462113221287,-0.25752663827432,-1.90462113221287
"2","p(elev)psi(elev)",-2.04414661825183,-0.411745349858572,-2.04414661825183,-0.411745349858572
"3","p(elev)psi(slope)",-2.50408740436708,0.00203121895859266,-0.533289753278523,0.000543596959015006
"4","p(elev)psi(dist_def)",-1.64644037175353,-0.0552149322512962,-0.577247880748691,0.000708322316078275
"5","p(elev)psi(dist_rd)",-1.53932552173101,-0.000483639212456895,-0.62601216351858,0.000800959888164265
"6","p(elev)psi(canopy_h)",-1.53786463109165,-0.000591595368245839,-0.654301935221511,0.00108635478218658
"7","p(elev)psi(canopy_c)",-0.519300938146064,-0.249981698111312,-0.68826962229678,0.00115194165476765
"8","p(elev)psi(basal_a)",-1.65500849589038,-0.00827259846426558,-0.609604378543441,0.000866130387247496
"9","p(elev)psi(in_out)",-1.86579723000194,-0.00137001184742446,-0.604350492685988,0.000810683019784369
"10","p(basal_a)psi(elev)",-2.44185614814835,1.06824935839052,-0.580532531231595,0.000785368451270566
"11","p(basal_a)psi(slope)",-2.56351544604738,0.00224853508532145,-0.740248053180496,0.00350938518967534
"12","p(basal_a)psi(dist_def)",-1.6628264437715,-0.0541576025964012,-0.745310811988923,0.00356068281437107
"13","p(basal_a)psi(dist_rd)",-1.47996854401303,-0.000699412399884748,-0.782544740698814,0.00389524678545266
"14","p(basal_a)psi(canopy_h)",-1.65159719391316,-0.000324740023897385,-0.644852001345537,0.00278472236285057
"15","p(basal_a)psi(canopy_c)",-0.344663728823718,-0.271082424043533,-1.07221415580708,0.0056959480163341
"16","p(basal_a)psi(basal_a)",-1.64970779197638,-0.00861435013191728,-0.757945656174192,0.00369756524754665
"17","p(basal_a)psi(in_out)",-1.82005821995775,-0.00172812993905944,-0.802849641969302,0.00391095160414627
