"","names(models@fits)","psi(Int)","psi(cov)","p(Int)","p(cov)"
"1","p(.)psi(.)",-0.25752663827432,-1.90462113221287,-0.25752663827432,-1.90462113221287
"2","p(elev)psi(elev)",-0.451161677184711,-1.82826609377416,-0.451161677184711,-1.82826609377416
"3","p(elev)psi(slope)",3.10466912454497,-0.0146291858076582,-2.90985892405079,0.00467968896970255
"4","p(elev)psi(dist_def)",0.124253274324718,-0.0497533940532035,-1.1503866561049,-0.00385189713674175
"5","p(elev)psi(dist_rd)",-1.16103012600302,0.000703536832688653,-1.49077280655094,-0.00114189750033455
"6","p(elev)psi(canopy_h)",0.0675828864738197,-0.000535080360423875,-1.40272622495959,-0.00230174390587891
"7","p(elev)psi(canopy_c)",-0.443769205991414,0.0152062646775693,-1.23960088821071,-0.00324708284538613
"8","p(elev)psi(basal_a)",-0.395496970541404,0.00141619233878011,-1.2411143023808,-0.00324881674237109
"9","p(elev)psi(in_out)",-0.358250096043774,0.000222999416085947,-1.25855371295661,-0.00315304465946007
"10","p(basal_a)psi(elev)",-0.515941692742981,0.624281622275089,-1.23201122694229,-0.00328344495584676
"11","p(basal_a)psi(slope)",0.62691029944695,-0.00547133037962135,-2.29518751917555,0.00396370192015582
"12","p(basal_a)psi(dist_def)",-0.608891159399892,0.0169085750560496,-2.34123534963081,0.0040648289531876
"13","p(basal_a)psi(dist_rd)",-1.55740001707413,0.00137030993753555,-2.63660813953034,0.00563577414521845
"14","p(basal_a)psi(canopy_h)",-0.0146593867148308,-0.000589883760484949,-2.16554214987938,0.00280656845109109
"15","p(basal_a)psi(canopy_c)",1.86763653245848,-0.18705902454094,-3.2248015519099,0.0077377072645266
"16","p(basal_a)psi(basal_a)",-0.312758926962187,-0.00343719055628552,-2.3469269445675,0.00408061280323145
"17","p(basal_a)psi(in_out)",-5.37865105763964,0.0721072163033746,-1.82651694134115,-0.00288806882907509
